Year,Housing Units,People Left Homeless,Minors Left Homeless,Area,Type of Structure,Demolish Scope,District,Demolition Reason,Demolition carried out by
2004,4,15,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
2004,9,44,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition for alleged military purposes,
2004,3,19,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2004,9,36,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jericho,Demolition for alleged military purposes,
2004,1,6,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
2004,50,214,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition of houses as punishment,
2004,9,57,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition of houses as punishment,
2004,24,105,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
2004,26,150,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition of houses as punishment,
2004,3,27,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition of houses as punishment,
2004,21,96,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2004,8,27,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Salfit,Demolition of houses as punishment,
2004,11,61,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Talkum,Demolition of houses as punishment,
2004,4,24,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition of houses as punishment,
2004,6,50,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition of houses as punishment,
2004,2,10,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition of houses as punishment,
2004,4,20,0,Gaza Strip,Residential Structure,Complete Demolition,Noth Gaza,Demolition of houses as punishment,
2004,8,66,0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition of houses as punishment,
,,,,,,,,,
,,,,,,,,,
,"5,498","25,730","5,998",,,,,,
